"animal","Sire","Dam","Pop","Generation","Sex","Stage","Date","Time","Temp","Mass","Injured","Observer","Camera","Emerged","Latency.S","Latency.Cens","OF.Dist","UZ","OF.Var.Velo","AP.Dist","AP.Lat.Mov","AP.Var.Velo","Understimate.AP","Latency.unt.cen","Latency.unt.up","Latency.cen","Latency.up","JDate_dev","OF.Dist.sqrt","UZ.sqrt","OF.Var.Velo.log","AP.Dist.sqrt","AP.Lat.Mov.sqrt","AP.Var.Velo.log","UZ.log","AP.Lat.Mov.log"
20561,10125,"10516","AG","F1","M","A",2018-05-25,10.5966666666667,27.1,333,"N","BK","New",0,NA,395,66.6973,4,77.0337,7.47026,105.532,26.086,"N",395,Inf,19.8746069143518,Inf,33,8.16684149472732,2,4.35714078466436,2.73317763784208,10.2728769096101,3.29901698923318,1.38629436111989,4.66844540950113
20562,10125,"10516","AG","F1","M","A",2018-05-23,15.7466666666667,26.3,401,"N","JL","New",0,NA,395,953.161,20,0.18897,747.905,0,0.00286593,"N",395,Inf,19.8746069143518,Inf,31,30.8733056215236,4.47213595499958,0.173087386103535,27.347851835199,0,0.00286183105228153,2.99573227355399,0
20563,10125,"10516","AG","F1","M","A",2018-05-31,12.1966666666667,26.2,522,"N","IDJ","New",0,NA,395,995.726,27,43.9642,NA,104.466,16.0597,"N",395,Inf,19.8746069143518,Inf,39,31.5551263664084,5.19615242270663,3.80586661759251,NA,10.2208610204816,2.83671895691478,3.29583686600433,4.6583886260929
20564,10125,"10516","AG","F1","M","A",2018-05-31,11.28,26.2,361,"N","IDJ","New",0,NA,395,1698.5,26,53.0146,7.84296,NA,0.000742962,"N",395,Inf,19.8746069143518,Inf,39,41.2128620699898,5.09901951359278,3.98925438039116,2.80052852154732,NA,0.000742686140360211,3.25809653802148,NA
20565,10125,"10516","AG","F1","M","A",2018-05-21,11.0633333333333,25.7,418,"N","BK","New",1,146,146,78.5708,1,0.335005,30.5019,NA,0.0337934,"N",146,146,12.0830459735946,12.0830459735946,29,8.86401714799785,1,0.288935037163551,5.52285252383223,NA,0.0332349495458417,0,NA
20566,10125,"10516","AG","F1","M","A",2018-05-30,13.63,26.2,320,"N","IDJ","New",1,136,136,886.985,25,20.634,685.329,127.199,6.73808,"N",136,136,11.6619037896906,11.6619037896906,38,29.782293397252,5,3.0742661512081,26.1787891240218,11.2782534108788,2.04615359481366,3.2188758248682,4.85358374414413
20567,10128,"10520","AG","F1","F","A",2018-05-24,10.6633333333333,26.8,531,"N","BK","New",1,155,155,21.6515,1,0.0270127,712.66,79.1992,24.4541,"N",155,155,12.4498995979887,12.4498995979887,32,4.65311723471481,1,0.0266542969848592,26.6956925364374,8.8993932377438,3.23687683021775,0,4.38451353976037
20568,10081,"10515","AG","F1","F","A",2018-05-31,12.1966666666667,26.2,495,"N","IDJ","New",0,NA,395,58.5175,2,0.118096,0,200,0,"N",395,Inf,19.8746069143518,Inf,39,7.64967319563392,1.4142135623731,0.111627238667246,0,14.142135623731,0,0.693147180559945,5.30330490805908
20569,10106,"10519","AG","F1","M","A",2018-05-18,11.3133333333333,26.3,411,"N","BK","New",0,NA,395,435.552,20,11.3286,280.19,55.6328,2.33014,"N",395,Inf,19.8746069143518,Inf,26,20.8698826062822,4.47213595499958,2.51192176652849,16.738876903783,7.45873983994616,1.20301434515065,2.99573227355399,4.03658832266114
20571,10106,"10519","AG","F1","F","A",2018-05-31,10.53,25.9,452,"N","IDJ","New",0,NA,395,505.682,29,13.529,0,200,0,"N",395,Inf,19.8746069143518,Inf,39,22.4873742353348,5.3851648071345,2.6761466520892,0,14.142135623731,0,3.36729582998647,5.30330490805908
20572,10106,"10519","AG","F1","M","A",2018-05-23,13.7133333333333,26.5,358,"N","IDJ","New",0,NA,395,59.7133,2,0.88625,858.243,130.332,12.4336,"N",395,Inf,19.8746069143518,Inf,31,7.72743812657209,1.4142135623731,0.634590731099922,29.2957846797112,11.4163041304969,2.59775903120412,0.693147180559945,4.87772846829403
20574,10106,"10519","AG","F1","F","A",2018-05-31,12.1966666666667,26.2,569,"N","IDJ","New",0,NA,395,190.395,11,2.22124,0,200,0,"N",395,Inf,19.8746069143518,Inf,39,13.7983694688902,3.3166247903554,1.16976637859468,0,14.142135623731,0,2.39789527279837,5.30330490805908
20576,10106,"10519","AG","F1","F","A",2018-05-31,14.33,26.2,524,"N","IDJ","New",0,NA,395,153.189,14,1.29144,404.415,99.399,3.23366,"N",395,Inf,19.8746069143518,Inf,39,12.3769543911255,3.74165738677394,0.829180440901789,20.1100721033019,9.96990471368709,1.44306686717367,2.63905732961526,4.60915224704866
